PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00362	DnaA	chromosomal replication initiator protein DnaA	85	1503	1419	718.6699829101562	0.0
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF08299.3	Bac_DnaA_C	Bacterial  dnaA  protein helix-turn-helix domain	1234	1440	207	143.22000122070312	7.999998919845737E-40
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF00308.10	Bac_DnaA	Bacterial  dnaA  protein	502	1158	657	526.3599853515625	0.0
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF08299.3	Bac_DnaA_C	Bacterial  dnaA  protein helix-turn-helix domain	1234	1440	207	143.1999969482422	6.899993638335399E-40
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00362	TIGR00362	DnaA: chromosomal replication initiator protein DnaA	100	1503	1404	502.6	0.0
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF00308.11	Bac_DnaA	Bacterial dnaA  protein	502	1158	657	333.8	3.5E-100
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF08299.4	Bac_DnaA_C	domain	1234	1440	207	99.0	7.9E-29
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF01695.10	IstB	IstB-like ATP binding protein	517	957	441	39.7	2.6E-10
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF00004.22	AAA	ATPase family associated with various cellular activities (AAA)	610	978	369	27.0	3.2E-6
chromosomal replication initiator protein dnaA	Rv0001	Mycobacterium tuberculosis H37Rv complete genome.	PF00308.10	Bac_DnaA	Bacterial  dnaA  protein	502	1158	657	526.2999877929688	0.0
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02768.8	DNA_pol3_beta_3	DNA polymerase III beta subunit, C-terminal domain	2835	3176	342	116.9	2.9E-34
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02767.9	DNA_pol3_beta_2	DNA polymerase III beta subunit, central domain	2463	2831	369	119.7	5.0E-35
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF00712.12	DNA_pol3_beta	DNA polymerase III beta subunit, N-terminal domain	2466	2834	369	144.1	1.3E-42
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00663	TIGR00663	dnan: DNA polymerase III, beta subunit	2088	3251	1164	367.0	2.0E-110
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00663	dnan	DNA polymerase III, beta subunit	2088	3251	1164	446.9100036621094	0.0
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02768.7	DNA_pol3_beta_3	DNA polymerase III beta subunit, C-terminal domain	2835	3248	414	157.58999633789062	3.783505853677006E-44
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF02767.8	DNA_pol3_beta_2	DNA polymerase III beta subunit, central domain	2463	2831	369	186.55999755859375	0.0
DNA polymerase III beta chain dnaN	Rv0002	Mycobacterium tuberculosis H37Rv complete genome.	PF00712.11	DNA_pol3_beta	DNA polymerase III beta subunit, N-terminal domain	2088	2441	354	187.32000732421875	0.0
