"RefSeq.Locus.Tag"	"Mccann 2011"	"CF fraction of Souza 2011"	"membrane of Souza 2011"	"Malen 2011"	"Malen 2010 TritonX"	"Malen 2007"	"Braunstein 2000"	"Chitale 2001"	"Wolfe 2010"	"Gu 2003"	"Sulzenbacher 2006"	"Mawuenyega 2005 Membrane"	"Mawuenyega 2005 Cell Wall"	"Rosenkrands 2000"	"Gomez 2000"	"McDonough 2008"	"Xiong 2005"	"Count of num of times identified as exported"	"Signal P predicts sp"	"TatP predicts Tat sp"	"TMHMM predicts transmembrane domain"	"num of times predicted to have an export signal"	"Macaque Deadman Dutta 2010"	"Macrophage TRASH Jyothi 2005"	"Macrophage TRASH BCG Cole 2005"	"Macrophage enriched in acidified phagosomes TRASH BCG Cole 2005"	"Mouse TRASH Sassetti"	"Mouse Deadman Lamichhane 2005"	"Cholesterol in vitro TRASH Griffin 2011"	"in vitro essential Sassetti 2003"	"in vitro essential Griffin 2011"	"BALB div c in vivo expressed Talaat 2004"	"SCID in vivo expressed Talaat 2004"	"only 7H9 expressed Talaat 2004"	"in vivo only expressed Talaat 2004"	"Sasky serine hydrolase"	"Identified in Bell 2012 (high density mspec-any fractions)"
"Rv0001"			"Y"									"Y"	"Y"					3				0								"essential"	"essential"						
"Rv0002"		"Y"	"Y"			"Y"			"Y"									4				0								"no-data"	"essential"						"Y"
"Rv0003"																		0				0								"non-essential"	"non-essential"						
"Rv0004"																		0				0								"non-essential"	"non-essential"						
"Rv0005"									"Y"	"Y"			"Y"					3				0								"essential"	"essential"						"Y"
"Rv0006"			"Y"						"Y"	"Y"								3				0								"no-data"	"essential"						"Y"
"Rv0007"			"Y"	"Y"					"Y"									3			"Y"	1								"no-data"	"non-essential"						"Y"
"Rv0008c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv0009"		"Y"	"Y"			"Y"			"Y"					"Y"				5				0							"Y"	"non-essential"	"non-essential"						"Y"
"Rv0010c"			"Y"															1			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv0011c"			"Y"															1			"Y"	1								"non-essential"	"non-essential"						
"Rv0012"						"Y"						"Y"						2			"Y"	1								"non-essential"	"non-essential"						
"Rv0013"																		0				0								"no-data"	"essential"						
"Rv0014c"		"Y"	"Y"	"Y"					"Y"									4			"Y"	1								"essential"	"essential"						"Y"
"Rv0015c"						"Y"												1			"Y"	1								"essential"	"essential"						
"Rv0016c"			"Y"															1	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv0017c"																		0			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv0018c"				"Y"					"Y"									2			"Y"	1		"Y"						"non-essential"	"essential"						"Y"
"Rv0019c"			"Y"	"Y"		"Y"												3			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv0020c"		"Y"	"Y"						"Y"					"Y"				4				0		"Y"						"non-essential"	"essential"						"Y"
