Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	Rv1461		RefSeq	CDS	1646989	1649529	2541	+		846		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3704c		RefSeq	CDS	4146888	4148186	1299	-		432	gshA	glutamate--cysteine ligase gshA (gamma-glutamylcysteine synthetase) (gamma-ECS) (GCS) (gamma-glutamyl-L-cysteine synthetase)				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0720		RefSeq	CDS	813940	814308	369	+		122	rplR	50S ribosomal protein L18				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv2071c		RefSeq	CDS	2328222	2328977	756	-		251	cobM	precorrin-4 C11-methyltransferase CobM				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv2326c		RefSeq	misc_feature	2598784	2598828	45	-								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0908		RefSeq	CDS	1011731	1014124	2394	+		797	ctpE	metal cation transporter ATPase P-type CtpE				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv1007c		RefSeq	CDS	1125444	1127003	1560	-		519	metG	methionyl-tRNA synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3613c		RefSeq	CDS	4053881	4054042	162	-		53		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0405		RefSeq	misc_feature	487366	487389	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0675		RefSeq	CDS	774783	775574	792	+		263	echA5	enoyl-CoA hydratase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0751c		RefSeq	CDS	842347	843231	885	-		294	mmsB	3-hydroxyisobutyrate dehydrogenase MmsB				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0939		RefSeq	CDS	1048412	1050346	1935	+		644		bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv1328		RefSeq	CDS	1494564	1497155	2592	+		863	glgP	glycogen phosphorylase GlgP				
Mycobacterium tuberculosis H37Rv	NC_000962			RefSeq	repeat_region	3192308	3192360	53	-								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3068c		RefSeq	CDS	3431979	3433622	1644	-		547	pgmA	phosphoglucomutase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv2645		RefSeq	CDS	2970123	2970554	432	+		143		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3483c		RefSeq	CDS	3902150	3902812	663	-		220		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0309		RefSeq	CDS	377931	378587	657	+		218		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv1180		RefSeq	misc_feature	1313740	1313772	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3410c		RefSeq	CDS	3828783	3829910	1128	-		375	guaB3	inosine 5-monophosphate dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv3480c		RefSeq	CDS	3898909	3900402	1494	-		497		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0001		RefSeq	misc_feature	1384	1440	57	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0001		RefSeq	CDS	1	1524	1524	+		507	dnaA	chromosomal replication initiation protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0001		RefSeq	misc_feature	622	645	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0002		RefSeq	CDS	2052	3260	1209	+		402	dnaN	DNA polymerase III subunit beta				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0003		RefSeq	misc_feature	3367	3390	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0003		RefSeq	misc_feature	3634	3690	57	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0003		RefSeq	misc_feature	4243	4296	54	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0003		RefSeq	CDS	3280	4437	1158	+		385	recF	recombination protein F				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0004		RefSeq	CDS	4434	4997	564	+		187		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0005		RefSeq	CDS	5123	7267	2145	+		714	gyrB	DNA gyrase subunit B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0005		RefSeq	misc_feature	6608	6634	27	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0006		RefSeq	misc_feature	8811	8849	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0006		RefSeq	CDS	7302	9818	2517	+		838	gyrA	DNA gyrase subunit A				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0007		RefSeq	CDS	9914	10828	915	+		304		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0009		RefSeq	CDS	12468	13016	549	+		182	ppiA	iron-regulated peptidyl-prolyl cis-trans isomerase A				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0012		RefSeq	CDS	14089	14877	789	+		262		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0013		RefSeq	misc_feature	15145	15180	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0013		RefSeq	CDS	14914	15612	699	+		232	trpG	para-aminobenzoate synthase component II				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0013		RefSeq	misc_feature	15100	15150	51	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0023		RefSeq	CDS	27595	28365	771	+		256		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0024		RefSeq	CDS	28362	29207	846	+		281		putative secreted protein P60-related protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0025		RefSeq	CDS	29245	29607	363	+		120		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0026		RefSeq	CDS	29722	31068	1347	+		448		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0027		RefSeq	CDS	31189	31506	318	+		105		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0028		RefSeq	CDS	31514	31819	306	+		101		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0029		RefSeq	CDS	32057	33154	1098	+		365		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0030		RefSeq	CDS	33224	33553	330	+		109		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0031		RefSeq	CDS	33582	33794	213	+		70		remnant of A transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0032		RefSeq	misc_feature	36128	36157	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0032		RefSeq	CDS	34295	36610	2316	+		771	bioF2	8-amino-7-oxononanoate synthase BioF2				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0033		RefSeq	CDS	36607	36870	264	+		87	acpA	acyl carrier protein AcpA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0034		RefSeq	CDS	36867	37262	396	+		131		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0035		RefSeq	CDS	37259	38947	1689	+		562	fadD34	fatty-acid-CoA ligase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0038		RefSeq	CDS	41304	41912	609	+		202		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0041		RefSeq	misc_feature	43799	43831	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0041		RefSeq	CDS	43562	46471	2910	+		969	leuS	leucyl-tRNA synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0049		RefSeq	CDS	52831	53244	414	+		137		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0050		RefSeq	CDS	53663	55699	2037	+		678	ponA1	bifunctional penicillin-binding protein 1A/1B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0051		RefSeq	CDS	55696	57378	1683	+		560		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0052		RefSeq	CDS	57410	57973	564	+		187		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0053		RefSeq	CDS	58192	58482	291	+		96	rpsF	30S ribosomal protein S6				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0053		RefSeq	misc_feature	58318	58347	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0054		RefSeq	CDS	58586	59080	495	+		164	ssb	single-stranded DNA-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0055		RefSeq	CDS	59122	59376	255	+		84	rpsR	30S ribosomal protein S18				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0056		RefSeq	CDS	59409	59867	459	+		152	rplI	50S ribosomal protein L9				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0056		RefSeq	misc_feature	59445	59528	84	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0057		RefSeq	CDS	59896	60417	522	+		173		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0058		RefSeq	CDS	60396	63020	2625	+		874	dnaB	replicative DNA helicase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0058		RefSeq	misc_feature	61071	61094	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0059		RefSeq	CDS	63200	63892	693	+		230		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0060		RefSeq	CDS	63909	64967	1059	+		352		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0061		RefSeq	CDS	64991	65416	426	+		141		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0062		RefSeq	CDS	65552	66694	1143	+		380	celA1	endo-1,4-beta-glucanase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0063		RefSeq	CDS	66923	68362	1440	+		479		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0063		RefSeq	misc_feature	67142	67243	102	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0064		RefSeq	CDS	68620	71559	2940	+		979		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0065		RefSeq	CDS	71821	72222	402	+		133		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0068		RefSeq	CDS	75301	76212	912	+		303		short chain dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0071		RefSeq	CDS	79486	80193	708	+		235		maturase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0072		RefSeq	CDS	80624	81673	1050	+		349		glutamine-transport transmembrane protein ABC transporter				
