Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_1081	Rv0969	PATRIC	CDS	1078677	1081055	2379	+		792	ctpV	Cu+ P-type ATPase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3565		PATRIC	CDS	3558629	3558775	147	-		48		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2712	Rv2422	PATRIC	CDS	2719083	2719355	273	+		90		FIG00823750: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3609	Rv3226c	PATRIC	CDS	3602564	3603322	759	-		252		FIG00996837: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3893	Rv3486	PATRIC	CDS	3905817	3906221	405	+		134		DoxX family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0062	Rv0056	PATRIC	CDS	59397	59867	471	+		156	rplI	LSU ribosomal protein L9p				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_0496	Rv0452	PATRIC	CDS	542160	542852	693	+		230		Transcriptional regulator, TetR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2488		PATRIC	CDS	2506082	2506198	117	-		38		FIG00823533: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2507	Rv2249c	PATRIC	CDS	2523241	2524785	1545	-		514	glpD1	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2720	Rv2428	PATRIC	CDS	2726193	2726780	588	+		195	ahpC	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2825	Rv2520c	PATRIC	CDS	2837388	2837612	225	-		74		POSSIBLE CONSERVED MEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3484	Rv3123	PATRIC	CDS	3488737	3489063	327	+		108		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3528	Rv3162c	PATRIC	CDS	3531208	3531603	396	-		131		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3552	Rv3183	PATRIC	CDS	3550721	3551044	324	+		107		FIG036183: Transcriptional regulator, XRE family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3805	Rv3408	PATRIC	CDS	3826557	3826958	402	+		133		FIG00822687: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3818	Rv3421c	PATRIC	CDS	3839059	3839685	627	-		208		Inactive homolog of metal-dependent proteases, putative molecular chaperone				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_3964	Rv3550	PATRIC	CDS	3989153	3989896	744	+		247	echA20	Probable enoyl-CoA hydratase EchA20 (EC 4.2.1.17)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_4185	Rv3756c	PATRIC	CDS	4201894	4202613	720	-		239	proZ	Glycine betaine ABC transport system permease protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r026		PATRIC	tRNA	2510595	2510669	75	-				tRNA-Val-TAC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg019	Rv2251	PATRIC	pseudogene	2525402	2526992	1591	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r001		PATRIC	tRNA	10887	10963	77	+				tRNA-Ile-GAT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r030	Rvnt27	PATRIC	tRNA	2765541	2765611	71	+				tRNA-Gly-TCC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg005	Rv0304c	PATRIC	pseudogene	366150	375711	9562	-			PPE5					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg026	Rv3785	PATRIC	pseudogene	4230256	4232393	2138	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r043		PATRIC	tRNA	4126541	4126617	77	+				tRNA-Pro-CGG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r014	Rvnt14	PATRIC	tRNA	1025321	1025393	73	-				tRNA-Arg-CCT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg011	Rv1556	PATRIC	pseudogene	1760571	1761605	1035	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg002	Rv0082	PATRIC	pseudogene	89575	90403	829	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg003	Rv0114	PATRIC	pseudogene	137250	138513	1264	+			gmhB					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg021	Rv2562	PATRIC	pseudogene	2881409	2882147	739	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg009	Rv1146	PATRIC	pseudogene	1272423	1274767	2345	+			mmpL13b					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg007	Rv0782	PATRIC	pseudogene	874236	876390	2155	+			ptrBb					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg010	Rv1181	PATRIC	pseudogene	1313677	1319982	6306	+			pks4					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r033	Rvnt30	PATRIC	tRNA	2835494	2835566	73	+				tRNA-Lys-CTT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r006	Rvnt06	PATRIC	tRNA	731494	731566	73	+				tRNA-Thr-GGT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r009		PATRIC	tRNA	850639	850713	75	-				tRNA-Thr-TGT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r032		PATRIC	tRNA	2827854	2827929	76	+				tRNA-His-GTG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r013		PATRIC	tRNA	924213	924289	77	+				tRNA-Phe-GAA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r025		PATRIC	tRNA	2401987	2402075	89	+				tRNA-Leu-GAG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r003		PATRIC	tRNA	25644	25729	86	+				tRNA-Leu-CAG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r022	Rvnt19	PATRIC	tRNA	1512728	1512811	84	+				tRNA-Leu-TAG				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg016	Rv2098c	PATRIC	pseudogene	2356729	2358206	1478	-			PE_PGRS36					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r034		PATRIC	tRNA	2969494	2969568	75	-				tRNA-Val-CAC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg012	Rv1784	PATRIC	pseudogene	2019257	2023432	4176	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r021		PATRIC	misc_RNA	1476899	1477013	115	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r044		PATRIC	tRNA	4168345	4168433	89	+				tRNA-Ser-GGA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg022	Rv3374	PATRIC	pseudogene	3787726	3788616	891	+			echA18.1					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r019	Rvnr01	PATRIC	rRNA	1471847	1473382	1536	+			rrs	Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r037		PATRIC	tRNA	2969942	2970016	75	+				tRNA-Val-GAC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r028	Rvnt25	PATRIC	tRNA	2619407	2619479	73	-				tRNA-Asn-GTT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg017	Rv2227	PATRIC	pseudogene	2500923	2501632	710	+								
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r031	Rvnt28	PATRIC	tRNA	2794176	2794249	74	+				tRNA-Arg-TCT				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_pg008	Rv0977	PATRIC	pseudogene	1090740	1093144	2405	+			PE_PGRS16					
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r002		PATRIC	tRNA	11112	11187	76	+				tRNA-Ala-TGC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r048	Rvnt45	PATRIC	tRNA	4222581	4222667	87	-				tRNA-Ser-TGA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r005		PATRIC	tRNA	658109	658192	84	+				tRNA-Tyr-GTA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_r029		PATRIC	tRNA	2765328	2765404	77	-				tRNA-Pro-TGG				
