Label	ID	Track	Strand	Start	Stop	Length	DB XREF	Experiment	Function	Gene	Protein ID	EC_Number	Product	TransL_Table	Locus Tag
dnaA	23330:00:00	NC_000962.gbk: CDS (640113442)	+	1	1524	1524	885041	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	PLAYS AN IMPORTANT ROLE IN THE INITIATION AND REGULATION OF CHROMOSOMAL REPLICATION. BINDS TO THE ORIGIN OF REPLICATION; IT BINDS SPECIFICALLY DOUBLE-STRANDED DNA AT A 9 BP CONSENSUS (DNAA BOX): 5'-TTATC(C/A)A(C/A)A-3'. DNAA BINDS TO ATP AND TO ACIDIC PHO	dnaA	NP_214515.1		chromosome replication initiator DnaA	11	Rv0001
dnaN	23330:01:00	NC_000962.gbk: CDS (640113442)	+	2052	3260	1209	887092	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	DNA POLYMERASE III IS A COMPLEX, MULTICHAIN ENZYME RESPONSIBLE FOR MOST OF THE REPLICATIVE SYNTHESIS IN BACTERIA. THIS DNA POLYMERASE ALSO EXHIBITS 3' TO 5' EXONUCLEASE ACTIVITY. THE BETA CHAIN IS REQUIRED FOR INITIATION OF REPLICATION ONCE IT IS CLAMPED	dnaN	NP_214516.1	2.7.7.7	DNA polymerase III subunit beta	11	Rv0002
recF	23330:02:00	NC_000962.gbk: CDS (640113442)	+	3280	4437	1158	887089	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THE RECF PROTEIN IS INVOLVED IN DNA METABOLISM AND RECOMBINATION; IT IS REQUIRED FOR DNA REPLICATION AND NORMAL SOS INDUCIBILITY. RECF BINDS PREFERENTIALLY TO SINGLE-STRANDED, LINEAR DNA. IT ALSO SEEMS TO BIND ATP.	recF	NP_214517.1		recombination protein F	11	Rv0003
NC_000962.gbk: CDS	23330:03:00	NC_000962.gbk: CDS (640113442)	+	4434	4997	564	887088		UNKNOWN		NP_214518.1		hypothetical protein	11	Rv0004
gyrB	23330:04:00	NC_000962.gbk: CDS (640113442)	+	5123	7267	2145	887081	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	DNA GYRASE NEGATIVELY SUPERCOILS CLOSED CIRCULAR DOUBLE-STRANDED DNA IN AN ATP-DEPENDENT MANNER AND ALSO CATALYZES THE INTERCONVERSION OF OTHER TOPOLOGICAL ISOMERS OF DOUBLE-STRANDED DNA RINGS, INCLUDING CATENANES AND KNOTTED RINGS [CATALYTIC ACTIVITY: AT	gyrB	NP_214519.1	5.99.1.3	DNA gyrase subunit B	11	Rv0005
gyrA	23330:05:00	NC_000962.gbk: CDS (640113442)	+	7302	9818	2517	887105	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	DNA GYRASE NEGATIVELY SUPERCOILS CLOSED CIRCULAR DOUBLE-STRANDED DNA IN AN ATP-DEPENDENT MANNER AND ALSO CATALYZES THE INTERCONVERSION OF OTHER TOPOLOGICAL ISOMERS OF DOUBLE-STRANDED DNA RINGS, INCLUDING CATENANES AND KNOTTED RINGS [CATALYTIC ACTIVITY: AT	gyrA	NP_214520.1	5.99.1.3	DNA gyrase subunit A	11	Rv0006
NC_000962.gbk: CDS	23330:06:00	NC_000962.gbk: CDS (640113442)	+	9914	10828	915	885982	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214521.1		hypothetical protein	11	Rv0007
NC_000962.gbk: CDS	23330:07:00	NC_000962.gbk: CDS (640113442)	-	11874	12311	438	887085	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_214522.1		hypothetical protein	11	Rv0008c
ppiA	23330:08:00	NC_000962.gbk: CDS (640113442)	+	12468	13016	549	887087	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	PPIASES ACCELERATE THE FOLDING OF PROTEINS [CATALYTIC ACTIVITY: CIS-TRANS ISOMERIZATION OF PROLINE IMIDIC PEPTIDE BONDS IN OLIGOPEPTIDES].	ppiA	NP_214523.1	5.2.1.8	iron-regulated peptidyl-prolyl cis-trans isomerase A	11	Rv0009
NC_000962.gbk: CDS	23330:09:00	NC_000962.gbk: CDS (640113442)	-	13133	13558	426	887082		UNKNOWN		NP_214524.1		hypothetical protein	11	Rv0010c
